user_id,author,linkOfAuthorProfile,desc,followers
rahulbhalley,Rahul Bhalley,https://towardsdatascience.com/@rahulbhalley?source=collection_archive---------4-----------------------,Machine Intelligence Researcher,0
yanhann10,Hannah Yan Han,https://towardsdatascience.com/@yanhann10?source=collection_archive---------5-----------------------,#100daysproject on data science and visual storytelling ✈️🗺️,1200
yufengg,Yufeng G,https://towardsdatascience.com/@yufengg?source=collection_archive---------0-----------------------,"Applying machine learning to the world. Developer and Advocate for @googlecloud. Runner, chef, musician. Opinions are solely my own.",7300
tharindrapara,Tharindra Paranagama,https://towardsdatascience.com/@tharindrapara?source=collection_archive---------1-----------------------,,0
leeschlenker,Lee Schlenker,https://towardsdatascience.com/@leeschlenker?source=collection_archive---------2-----------------------,,0
martin.lees,Martin Lees,https://towardsdatascience.com/@martin.lees?source=collection_archive---------3-----------------------,Blockchain engineer. Co-founder of steempress,95
marutitech,Maruti Techlabs,https://towardsdatascience.com/@marutitech?source=collection_archive---------1-----------------------,,0
oaklandthinktank,Anthony Repetto,https://towardsdatascience.com/@oaklandthinktank?source=collection_archive---------2-----------------------,,0
mohammedmusfirnn,Mohammed Musfir N N,https://towardsdatascience.com/@mohammedmusfirnn?source=collection_archive---------3-----------------------,"Data Story Teller, Road Rider, Marathoner and a reader. An advocate of a decentralized shared economy. Student of AI",95
ugocupcic,Ugo Cupcic,https://towardsdatascience.com/@ugocupcic?source=collection_archive---------4-----------------------,Director of Research and Innovation at SPooN AI.,179
ryanshrott,Ryan Shrott,https://towardsdatascience.com/@ryanshrott?source=collection_archive---------1-----------------------,Equity Desk Quant at BMO Capital Markets ,1400
kirillp,Kirill Panarin,https://towardsdatascience.com/@kirillp?source=collection_archive---------2-----------------------,,0
deenazaidi,Deena Zaidi,https://towardsdatascience.com/@deenazaidi?source=collection_archive---------3-----------------------,,0
Ed_Forson,Eddie Forson,https://towardsdatascience.com/@Ed_Forson?source=collection_archive---------4-----------------------,Co-Founder at EnVsion (,1600
zjost85,Zak Jost,https://towardsdatascience.com/@zjost85?source=collection_archive---------5-----------------------,Research Scientist at Amazon Web Services. YouTuber: ,517
fedakv,Vladimir Fedak,https://towardsdatascience.com/@fedakv?source=collection_archive---------7-----------------------,,0
narasimhaprasannahn,Narasimha Prasanna HN,https://towardsdatascience.com/@narasimhaprasannahn?source=collection_archive---------0-----------------------,"Web and Android developer, Hobbyist programmer ( comfortable with Python and JavaScript), Interested in making Machines intelligent.",478
mzaks,Maxim Zaks,https://towardsdatascience.com/@mzaks?source=collection_archive---------1-----------------------,,0
mSchmitz_,"Martin Schmitz, PhD",https://towardsdatascience.com/@mSchmitz_?source=collection_archive---------2-----------------------,Free Thinker and Data Scientist writing about data.,859
yuzhoux,Yu Zhou,https://towardsdatascience.com/@yuzhoux?source=collection_archive---------3-----------------------,"Data Scientist @Cloudability, I am interested in everything data science, all my posts are my own. Twitter: @yuzhouyz",269
saagrawa,Sanjeev Agrawal,https://towardsdatascience.com/@saagrawa?source=collection_archive---------2-----------------------,,0
jiayu.,Jiayu Yi,https://towardsdatascience.com/@jiayu.?source=collection_archive---------0-----------------------,Follow me at ,211
hlynurd,hlynurd,https://towardsdatascience.com/@hlynurd?source=collection_archive---------0-----------------------,PhD student in machine learning.,252
AdamLGreenwood,Adam Greenwood,https://towardsdatascience.com/@AdamLGreenwood?source=collection_archive---------4-----------------------,CEO of Greenwood Campbell. Spending my time understanding emerging technology and how it can affect brands and consumers.,142
shamliprakash_47201,Shamli Prakash,https://towardsdatascience.com/@shamliprakash_47201?source=collection_archive---------1-----------------------,Management consulting. AI enthusiast. Love the stories that hide in data. Passionate about women in business. India Head — Zenon.,1100
DrHughHarvey,Hugh Harvey,https://towardsdatascience.com/@DrHughHarvey?source=collection_archive---------2-----------------------,Doctor² (radiologist & academic) MBBSs BSc(Hons) FRCR MD(Res) FBIR. Clinical AI in radiology imaging and research.,2800
janosolnik,Jan Osolnik,https://towardsdatascience.com/@janosolnik?source=collection_archive---------3-----------------------,,0
takuma.seno,Takuma Seno,https://towardsdatascience.com/@takuma.seno?source=collection_archive---------0-----------------------,A Ph.D student in computer science at Keio University. Also working at Sony AI as a full-time Machine Learning Engineer.,396
felixmohr,Felix Mohr,https://towardsdatascience.com/@felixmohr?source=collection_archive---------1-----------------------,Computer Scientist,409
joaeechew,Joaee Chew,https://towardsdatascience.com/@joaeechew?source=collection_archive---------3-----------------------,Data Scientist at PwC Strategy&,72
zheliu,Zhe Liu,https://towardsdatascience.com/@zheliu?source=collection_archive---------4-----------------------,,54
t2thompson,Tommy Thompson,https://towardsdatascience.com/@t2thompson?source=collection_archive---------5-----------------------,Director of @AIandGames: providing consultancy in AI technologies as well as producing our YouTube series. Indie developer with @TableFlipGames.,251
regionomics,Murtaza Haider,https://towardsdatascience.com/@regionomics?source=collection_archive---------1-----------------------,"Father of 2, entrepreneur, author of Getting Started With Data Science (",40
_benrudolph,Ben Rudolph,https://towardsdatascience.com/@_benrudolph?source=collection_archive---------2-----------------------,A flipping software engineer,140
boitemailjeanmid,Jean-Michel D,https://towardsdatascience.com/@boitemailjeanmid?source=collection_archive---------6-----------------------,"Data scientist at @ubisoftMtl (Worked for @edfenergy, @cea_officiel, @cstb_fr) My opinion are my own (and I have always an opinion because I am French)",161
cherie-chung,Cherie Chung,https://towardsdatascience.com/@cherie-chung?source=collection_archive---------7-----------------------,,0
alamhanz,Alamsyah Hanza,https://towardsdatascience.com/@alamhanz?source=collection_archive---------8-----------------------,,0
kmsravindra123,Ravindra Kompella,https://towardsdatascience.com/@kmsravindra123?source=collection_archive---------1-----------------------,"AI, ML, Computer vision @Endovigilant, ",963
kadek,Kade Killary,https://towardsdatascience.com/@kadek?source=collection_archive---------2-----------------------,,776
iamukasa,Irving Amukasa,https://towardsdatascience.com/@iamukasa?source=collection_archive---------3-----------------------,,221
